Сургалтын_төлөвлөгөөний_дугаар,Хөтөлбөрийн_дугаар,Сургалтын_төлөвлөгөө,Хөтөлбөрийн_нэр,Хөтөлбөр_Батлагдсан_он
a512294422de868f8474d22344636f16,6e594f338b33de4b3eb0f4c474e34e2e,2021,Химийн боловсрол,2021
c2e06e9a80370952f6ec5463c77cbace,be70c03962c31e6a33eb1157b2918a1e,2021,Геологи (Геологи эрэл хайгуул),2021
f3507289cfdc8c9ae93f4098111a13f9,8fd5cd835618da6c9df4f7e2c34d97bf,2021,Геологи (Шатах ашигт малтмалын геологи),2021
a5585a4d4b12277fee5cad0880611bc6,2c00280471a06737cd3b9b824e87071c,2021,Геологи (Шатах ашигт малтмалын геологи),2021
db9e6eef2eb4f0d8c55ecc7beaf2d78d,c6bfc0346794aa6b4f58f2c310ccd13a,2021,Геологи (Геологи эрдэс баялгийн удирдлага),2021
cfe795a0a3c7bc1683f2efd8837dde0c,3927702ad7b4da15eac08b2a8d5d1587,2021,Гадаад хэлний орчуулга (Гадаадын бэлтгэл),2021
9a02387b02ce7de2dac4b925892f68fb,f489dd036d621bad9414063cb4172331,2015,Биологийн боловсрол,2015
9e7ba617ad9e69b39bd0c29335b79629,f489dd036d621bad9414063cb4172331,2022,Биологийн боловсрол,2015
18a4e1366eb78af25ed5cfc306e8f873,0d557e7d201722831373cbbd6c6fd9bd,2022,"ШУС-ийн Нийгэм, хүмүүнлэгийн ухааны салбарын ерөнхий суурь хөтөлбөр",2021
adf7ee2dcf142b0e11888e72b43fcb75,1f4bc8c3be5606ef9d09e6f0b62768b1,2022,"Багш, биологийн боловсрол",2021
73f95ee473881dea4afd89c06165fa66,1f4bc8c3be5606ef9d09e6f0b62768b1,2023,"Багш, биологийн боловсрол",2021
cede2d63a7c04ebd4cb55a2228c7141a,40a15264c5868e6b5e9aab3779aa8d55,2022,"Багш, газарзүйн боловсрол",2021
7776e88b0c189539098176589250bcba,40a15264c5868e6b5e9aab3779aa8d55,2023,"Багш, газарзүйн боловсрол",2021
